train_month,val_month,stock,lambda,alpha,is_r2,oos_r2,c,H
9,11,AEP,5.763600716712123,0.0,0.06904259350987352,0.08700818680941735,0.3,5.0
9,11,AES,7.662906606591267,0.0,0.16943000757423798,0.14258135534161454,0.3,5.0
9,11,AFL,6.459299416985233,0.0,0.11707407473783393,0.11275551472193812,0.3,5.0
9,11,AIG,7.007080507397855,0.0,0.09211970087616128,0.08906215993687061,0.3,5.0
9,11,AMAT,6.91266950004489,0.0,0.08218584906362592,0.12406747858063372,0.3,5.0
9,11,AMD,9.719513498799737,0.0,0.17198524922790592,0.1715511869909604,0.3,5.0
9,11,AMGN,6.813352553000912,0.0,0.09092957691793269,0.08945437395401568,0.3,5.0
9,11,AMZN,10.515247889884938,0.0,0.15140844664110098,0.14722914293985256,0.3,5.0
9,11,AOS,6.971564378523746,0.0,0.10335541592683484,0.09845773188972107,0.3,5.0
9,11,APA,6.0615146355849125,0.0,0.057221645801624366,0.11760734186793631,0.3,5.0
10,12,AAL,7.961129008271464,0.0,0.130775957709645,0.1623226969785856,0.3,5.0
10,12,AAPL,11.392040358891077,0.0,0.16905832107761876,0.1399865549347411,0.3,5.0
10,12,ABBV,7.332255581516146,0.0,0.07919456994769158,0.07312291282512295,0.3,5.0
10,12,ABT,6.829044590593633,0.0,0.08075471988492477,0.08873361404646796,0.3,5.0
10,12,ADBE,7.369449086982296,0.0,0.08230016771825677,0.06993095012736517,0.3,5.0
10,12,ADI,6.203636001330004,0.0,0.04937201935282609,0.09776412488441966,0.3,5.0
10,12,ADM,7.065269329110974,0.0,0.1078302732962576,0.10383191716411266,0.3,5.0
10,12,ADP,7.467218786441896,0.0,0.06503687061521435,0.08120159514505332,0.3,5.0
10,12,ADSK,7.814488032140544,0.0,0.09135917899948742,0.08328706405868325,0.3,5.0
10,12,AEP,6.3073071355664085,0.0,0.08452257845127154,0.08142660961268666,0.3,5.0
10,12,AES,6.872146073143724,0.0,0.14672392697583114,0.13468019225113415,0.3,5.0
10,12,AFL,6.533550488292768,0.0,0.0854468716958029,0.0954502459996116,0.3,5.0
10,12,AIG,6.80367508771184,0.0,0.06583870383290902,0.10203541615518552,0.3,5.0
10,12,AMAT,7.744123196697838,0.0,0.1109293003073355,0.11407650626564736,0.3,5.0
10,12,AMD,10.153860642915173,0.0,0.15949666664755924,0.16558075798262617,0.3,5.0
10,12,AMGN,7.176312295361044,0.0,0.07739411691346831,0.11019159354574803,0.3,5.0
10,12,AMZN,9.696813916493996,0.0,0.13959998039822097,0.13973120375841108,0.3,5.0
10,12,AOS,6.5526885468364675,0.0,0.09014815440263813,0.12009180794320462,0.3,5.0
10,12,APA,7.497154962876458,0.0,0.07588554129900948,0.11378882972406668,0.3,5.0
1,3,AAL,13.480365549236339,0.0,0.12666114078224722,0.1494192770069699,0.4,5.0
1,3,AAPL,19.547157882877777,0.0,0.19595284818012815,0.177349914992893,0.4,5.0
1,3,ABBV,11.957795130114002,0.0,0.0857280621487958,0.10817757487983126,0.4,5.0
1,3,ABT,12.73612778055028,0.0,0.1113304913264106,0.08753877391315379,0.4,5.0
1,3,ADBE,12.854871110147279,0.0,0.12085655977371856,0.10603937352840176,0.4,5.0
1,3,ADI,10.667425702203055,0.0,0.09939739301596062,0.09024013091104943,0.4,5.0
1,3,ADM,11.775342664355469,0.0,0.12704369582549113,0.16765427779611242,0.4,5.0
1,3,ADP,12.54829548605445,0.0,0.13719406109016685,0.10747470920505009,0.4,5.0
